Diphtherinum
Diphtherotoxinum
Dipodium punctatum
Dirca palustris
Ditin
Dolichos pruriens
Doryphora
Drosera
Duboisia
Duboisin sulphate
Dulcamara
Echinacea Rudbeckia
Egg vaccine
Elaeis guineensis
Elaps corallinus
Elaterium ecbalium
Elemuy gauteria
Emetinum
Eosin
Ephedra vulgaris
Epigea repens
Epilobium
Epiphegus orobanche
Equisetum
Eranthis hymnalis
Erechthites
Ergotinum
Erigeron
Eriodictyon
Erodium cicutarium
Eryngium aquaticum
Erythrinus
Eschscholtzia californica
Eserin salicylate
Eserinum
Eucalyptus globulus
Eucalyptus rostrata
Eugenia jambos
Euonymus atropurpurea
Eupatorium aromaticum
Eupatorium perfoliatum
Eupatorium purpureum
Euphorbia hypericifolia
Euphorbia lathyris
Euphorbia prostata
Euphorbium
Euphrasia
Eupion
Fabiana imbricata
Fagopyrum
Fagus silvatica
Fel tauri
Ferrum aceticum
Ferrum arsenicosum
Ferrum bromatum
Ferrum citricum
Ferrum cyanatum
Ferrum iodatum
Ferrum magneticum
Ferrum metallicum
Ferrum muriaticum
Ferrum pernitricum
Ferrum phosphoricum
Ferrum picricum
Ferrum pyrophosphoricum
Ferrum sulphuricum
Ferrum tartaricum
Ferula glauca
Ficus carica
Ficus religiosa
Ficus venosa
Filix mas
Fluoricum acidum
Fluoroform
Formalin
Formica rufa
Formicum acidum
Fragaria
Franciscea
Fraxinus americana
Fraxinus excelsior
Fuchsina magenta
Gadus morrhua
Gaertner
Galanthus nivalis
Galega officinalis
Galium aparine
Gallicum acidum
Gambogia
Gaultheria
Gelatin
Gelsemium
Gentiana cruciata
Gentiana lutea
Gentiana quinquefolia
Geranium maculatum
Gettysburg water
Geum rivale
Ginseng
Glechoma hederacea
Glonoine
Glycerinum
Gnaphalium
Golondrina
Gossypium
Granatum
Graphites
Gratiola
Grindelia
Guaco
Guaiacum
Guajacolum
Guano
Guarea
Gunpowder
Gymnema silvestre
Gymnocladus
Haematoxylon
Hamamelis virginica
Hedeoma
Hedera helix
Hedysarum ildefonsianum
Hekla lava
Helianthus
Heliotropinum
Helix tosta
Helleborus
Helleborus foetidus
Helminthochortos
Heloderma
Helonias chamaelirium
Henchera
Hepar sulphuris calcareum
Hepatica
Heracleum
Hippomanes
Hippozaenium
Hippuric acid
Hoang nan
Hoitzia coccinea
Homarus
Hura brasiliensis
Hydrangea
Hydrastinum muriaticum
Hydrastis
Hydrobromicum acidum
Hydrocotyle
Hydrocyanic acid
Hydrophobinum
Hyoscyamus
Hypericum
Iberis
Ichthyolum
Ignatia
Ilex aquifolium
Ilex casseine
Ilex paraguariensis
Ilex vomitoria
Illecebrum
Illicium
Indigo
Indium
Indolum
Ingluvin
Insulin
Inula
Iodium
Iodoformum
Iodothyrine
Ipecacuanha
Ipomoea purpurea
Iridium
Iridium muriaticum
Iris factissima
Iris florentina
Iris germanica
Iris tenax
Iris versicolor
Jacaranda
Jalapa
Jatropha
Jatropha urens
Jequiritol
Jequirty arbus precatorius
Jonosia asoca
Juglandin
Juglans cinerea
Juglans regia
Juncus effusus
Juniperus communis
Juniperus virginica
Justicia adhatoda basaka
Kalagua
Kali aceticum
Kali arsenicum
Kali bichromicum
Kali bromatum
Kali carbonicum
Kali chloricum
Kali citricum
Kali cyanatum
Kali ferrocyanatum
Kali hydriodicum
Kali hypophosphoricum
Kali muriaticum
Kali nitricum
Kali oxalicum
Kali permanganicum
Kali phosphoricum
Kali picricum
Kali salicylicum
Kali silicatum
Kali sulphuricum
Kali sulphuricum chromicum
Kali tartaricum
Kali telluricum
Kalmia latifolia
Kamala
Kousso brayera
Kreosotum
Lac caninum
Lac defloratum
Lac felinum
Lac vaccinum
Lac vaccinum coagulatum
Lacerta agillis
Lachesis
Lachnantes
Lacticum acidum
Lactis vaccini flos
Lactuca virosa
Lamium
Lapathum acutum
Lapis albus
Lappa major
Lathyrus
Latrodectus hasselti
Latrodectus mactans
Laurocerasus
Lecithin
Ledum
Lemna minor
Leonurus cardiaca
Lepidium bonariense
Leptandra
Levico aqua
Liatris spicata
Lilium tigrinum
Limulus xiphosura
Linaria
Linum catharticum
Linum usitatissimum
Lippia mexicana
Lithium benzoicum
Lithium bromatum
Lithium carbonicum
Lithium lacticum
Lithium muriaticum
Lobelia cardinalis
Lobelia erinus
Lobelia inflata
Lobelia purpurascens
Lobelia syphilitica
Lolium temulentum
Lonicera pericylmenum
Lonicera xylosteum
Luminal
Lupulus humulus
Lycopodium
Lycopus virginicus
Macrozamia spiralis
Magnesia carbonica
Magnesia muriatica
Magnesia phosphorica
Magnesia sulphurica
Magneticus polus australis
Magnetis polus arcticus
Magnolia grandiflora
Malandrinum
Malaria officinalis
Mancinella
Mandragora officinarum
Manganum aceticum
Manganum muriaticum
Manganum oxydatum
Manganum sulphuricum
Mangifera indica
Manzanita
Marrubium album
Matico
Medorrhinum
Medusa
Mel cum sale
Melilotus
Menispermum
Mentha piperita
Mentha pulegium
Mentha viridis
Menthol
Menyanthes
Mephitis
Mercurialis perennis
Mercurius aceticus
Mercurius auratus
Mercurius bromatus
Mercurius corrosivus
Mercurius cyanatus
Mercurius dulcis
Mercurius iodatus flavus
Mercurius iodatus ruber
Mercurius nitrosus
Mercurius or Hydrargyrum
Mercurius phosphoricus
Mercurius praecipitatus ruber
Mercurius sulphuricus
Mercurius tannicus
Methylene blue
Methylium salicylicum
Mezereum
Micromeria
Millefolium
Mimosa
Mitchella
Momordica balsamina
Momordica charantia
Monsonia ovata
Morphinum
Moschus
Mucotoxinum
Mucuna urens
Murex
Muscarinum
Mygale lasiodora
Myosotis
Myrica
Myristica sebifera
Myrtus cheken
Myrtus communis
Nabalus serpentaria
Naja tripudians
Naphthalin
Narcissus
Nasturtium aquaticum
Natrum arsenicum
Natrum cacodylicum
Natrum carbonicum
Natrum chloratum
Natrum hyposulphurosum
Natrum iodatum
Natrum lacticum
Natrum muriaticum
Natrum nitricum
Natrum nitrosum
